Geneid	Chr	Start	End	Strand	Length	trt_1	trt_2	trt_3	ctr_1	ctr_2	ctr_3
gene:AT1G47395	1	17382998	17383830	+	833	0	0	6	0	0	0
gene:AT1G47400	1	17385707	17386485	+	779	0	0	0	0	0	0
gene:AT1G47410	1	17394072	17395673	+	1602	377	80	51	236	357	95
gene:AT1G47420	1	17395518	17397263	-	1746	2151	257	522	838	1131	414
gene:AT1G47450	1	17402636	17403214	-	579	0	0	0	0	0	0
gene:AT1G47470	1	17414547	17415150	-	604	0	0	0	0	0	0
gene:AT1G47480	1	17417492	17419442	+	1951	3	0	5	0	2	3
gene:AT1G47485	1	17422432	17423071	+	640	0	0	0	0	0	0
gene:AT1G47490	1	17424473	17427475	+	3003	448	86	138	321	360	117
gene:AT1G47495	1	17428945	17429813	-	869	0	0	0	0	1	0
gene:AT1G47497	1	17431009	17432401	-	1393	0	0	0	0	1	0
gene:AT1G47500	1	17432433	17435124	+	2692	478	347	259	209	192	103
gene:AT1G47510	1	17435525	17438490	-	2966	0	10	42	0	15	1
gene:AT1G47530	1	17451553	17454461	+	2909	1025	492	316	193	256	60
gene:AT1G47540	1	17455533	17456186	-	654	0	0	0	0	0	0
gene:AT1G47550	1	17456987	17465195	+	8209	894	96	233	306	476	219
gene:AT1G47560	1	17466535	17473421	+	6887	1	0	15	0	37	16
gene:AT1G47570	1	17477579	17483502	+	5924	83	28	33	191	156	69
gene:AT1G47578	1	17484348	17485470	+	1123	0	0	70	0	17	1
gene:AT1G47580	1	17485576	17486463	+	888	0	0	8	36	58	23
gene:AT1G47600	1	17491731	17494779	+	3049	0	1	0	0	0	1
gene:AT1G47603	1	17496657	17498152	-	1496	0	0	12	0	0	0
gene:AT1G47610	1	17504714	17506043	+	1330	0	0	0	0	0	0
gene:AT1G47620	1	17507893	17509731	-	1839	0	0	0	0	0	0
gene:AT1G47640	1	17518047	17520129	-	2083	288	1	79	214	229	112
gene:AT1G47655	1	17525342	17526308	+	967	22	36	38	149	108	148
gene:AT1G47657	1	17531871	17535174	+	3304	0	0	0	0	0	0
gene:AT1G47660	1	17533941	17535551	-	1611	0	0	0	0	0	0
gene:AT1G47670	1	17536625	17539719	-	3095	167	105	69	353	493	178
gene:AT1G47680	1	17540775	17541089	+	315	0	0	0	0	0	0
gene:AT1G47690	1	17544077	17544831	+	755	0	0	0	0	0	0
gene:AT1G47695	1	17546326	17546545	-	220	0	0	0	0	0	0
gene:AT1G47700	1	17547323	17548076	+	754	0	0	0	0	0	0
gene:AT1G47710	1	17557091	17560331	+	3241	772	101	74	139	226	88
gene:AT1G47720	1	17561286	17562934	-	1649	643	70	152	55	70	9
gene:AT1G47730	1	17563931	17565106	-	1176	0	0	0	1	1	0
gene:AT1G47740	1	17566511	17569297	+	2787	214	96	204	247	423	154
gene:AT1G47750	1	17569256	17570249	-	994	165	42	9	134	117	141
gene:AT1G47760	1	17572414	17573373	+	960	0	0	0	0	6	8
gene:AT1G47765	1	17574906	17576092	-	1187	0	0	0	0	0	0
gene:AT1G47770	1	17590266	17591261	+	996	0	0	0	13	0	0
gene:AT1G47780	1	17594683	17595353	+	671	0	0	0	0	0	0
gene:AT1G47786	1	17597898	17599099	+	1202	0	0	0	0	0	0
gene:AT1G47790	1	17600004	17601173	-	1170	0	0	0	0	1	0
gene:AT1G47800	1	17601513	17602676	+	1164	0	0	0	0	0	0
gene:AT1G47810	1	17603504	17604559	+	1056	0	0	0	0	0	0
gene:AT1G47813	1	17606558	17606818	+	261	0	0	0	0	0	0
gene:AT1G47820	1	17611905	17612613	+	709	14	0	1	22	76	2
gene:AT1G47830	1	17613029	17614986	-	1958	153	73	181	203	281	144
gene:AT1G47840	1	17616051	17619011	-	2961	3	17	29	60	35	75
gene:AT1G47845	1	17622110	17624274	-	2165	0	0	0	0	0	0
gene:AT1G47870	1	17634697	17637809	+	3113	87	86	35	50	52	28
gene:AT1G47885	1	17642397	17642805	-	409	0	0	0	0	0	0
gene:AT1G47890	1	17643976	17647107	+	3132	1556	248	444	0	1	0
gene:AT1G47900	1	17647144	17651791	-	4648	380	279	175	664	864	346
gene:AT1G47915	1	17660752	17661058	+	307	0	0	0	0	0	0
gene:AT1G47920	1	17661095	17662455	+	1361	0	0	0	0	0	0
gene:AT1G47940	1	17668285	17669713	+	1429	0	0	0	0	0	0
gene:AT1G47960	1	17681157	17683719	-	2563	127	0	75	1298	829	711
gene:AT1G47970	1	17686990	17688859	+	1870	860	156	349	1184	824	661
gene:AT1G47980	1	17691811	17693887	-	2077	0	0	0	0	0	0
gene:AT1G47990	1	17698598	17701041	+	2444	0	0	0	0	0	0
gene:AT1G48000	1	17704132	17706460	-	2329	0	0	1	1	1	0
gene:AT1G48010	1	17711491	17712660	-	1170	0	0	0	8	0	0
gene:AT1G48020	1	17716051	17716808	-	758	63	0	0	0	7	0
gene:AT1G48030	1	17716893	17719500	-	2608	1351	488	851	1463	1955	926
gene:AT1G48040	1	17719584	17721891	-	2308	849	181	215	154	135	12
gene:AT1G48050	1	17723382	17727243	+	3862	142	41	192	160	205	104
gene:AT1G48060	1	17728095	17729102	+	1008	0	0	0	0	3	0
gene:AT1G48070	1	17730417	17731157	-	741	0	0	0	0	1	0
gene:AT1G48090	1	17732010	17758508	-	26499	2892	673	1255	1464	1894	949
gene:AT1G48095	1	17760142	17761998	+	1857	0	0	0	0	0	0
gene:AT1G48100	1	17766738	17769951	+	3214	0	16	23	0	9	0
gene:AT1G48110	1	17769938	17773518	-	3581	803	504	699	192	357	221
gene:AT1G48120	1	17773627	17780106	-	6480	604	121	64	212	251	33
gene:AT1G48130	1	17780429	17781727	+	1299	0	0	0	0	0	0
gene:AT1G48140	1	17781988	17784211	+	2224	70	91	68	157	110	101
gene:AT1G48145	1	17784507	17784913	-	407	0	0	0	0	0	0
gene:AT1G48150	1	17785397	17786368	+	972	0	0	0	0	0	0
gene:AT1G48160	1	17786498	17789024	-	2527	340	39	122	264	319	98
gene:AT1G48170	1	17788763	17790246	+	1484	77	31	66	142	102	75
gene:AT1G48175	1	17790364	17792340	+	1977	1	36	13	21	54	71
gene:AT1G48180	1	17792343	17794460	-	2118	0	0	0	0	0	0
gene:AT1G48190	1	17794560	17795163	-	604	0	0	0	0	0	0
gene:AT1G48195	1	17796258	17796784	+	527	0	1	0	1	0	0
gene:AT1G48200	1	17796764	17798337	-	1574	1	2	0	76	68	8
gene:AT1G48210	1	17798431	17802330	+	3900	1117	174	235	445	498	217
gene:AT1G48220	1	17802863	17804955	+	2093	0	0	0	0	0	0
gene:AT1G48230	1	17805761	17808993	+	3233	189	35	65	166	338	159
gene:AT1G48240	1	17808988	17812106	-	3119	114	2	47	100	169	56
gene:AT1G48260	1	17813886	17817441	-	3556	0	20	0	10	0	0
gene:AT1G48270	1	17827953	17830420	-	2468	149	1	7	20	42	10
gene:AT1G48280	1	17835032	17837781	+	2750	39	48	45	29	101	22
gene:AT1G48285	1	17844350	17844900	-	551	0	0	0	0	0	0
gene:AT1G48300	1	17847042	17848338	+	1297	1422	629	688	213	156	98
gene:AT1G48310	1	17848421	17853915	-	5495	106	48	34	28	139	60
gene:AT1G48320	1	17854813	17855715	-	903	1311	300	232	105	90	54
gene:AT1G48325	1	17857258	17857722	+	465	0	0	0	0	0	0
gene:AT1G48330	1	17863660	17864558	+	899	96	45	17	5	6	16
gene:AT1G48350	1	17867102	17868432	+	1331	918	499	415	1138	2470	849
gene:AT1G48355	1	17868121	17868536	-	416	4	93	21	316	535	255
gene:AT1G48360	1	17868522	17873261	+	4740	13	80	31	62	77	48
gene:AT1G48370	1	17874436	17877462	+	3027	505	128	209	154	132	69
gene:AT1G48380	1	17876989	17879270	-	2282	67	87	22	120	112	9
gene:AT1G48390	1	17879369	17881251	-	1883	0	0	6	0	25	0
gene:AT1G48400	1	17881968	17883967	-	2000	0	0	0	0	0	0
gene:AT1G48405	1	17884645	17885614	-	970	1	0	0	0	0	0
gene:AT1G48410	1	17885633	17892632	-	7000	1800	393	657	892	1374	436
gene:AT1G48420	1	17895784	17898813	-	3030	421	197	180	304	442	265
gene:AT1G48430	1	17902632	17906873	-	4242	712	240	205	159	232	128
gene:AT1G48440	1	17906871	17908534	+	1664	485	280	242	350	537	111
gene:AT1G48450	1	17908503	17910523	-	2021	587	47	447	467	728	330
gene:AT1G48460	1	17910779	17913344	+	2566	251	4	100	88	115	70
gene:AT1G48470	1	17913711	17916101	+	2391	0	0	0	0	0	0
gene:AT1G48480	1	17918207	17921116	+	2910	432	57	195	366	462	371
gene:AT1G48490	1	17921900	17928954	-	7055	683	362	197	321	279	207
gene:AT1G48500	1	17931390	17934662	+	3273	1	0	13	0	13	0
gene:AT1G48510	1	17934746	17936946	+	2201	0	0	0	0	0	1
gene:AT1G48520	1	17940050	17942864	+	2815	145	158	202	702	583	227
gene:AT1G48530	1	17943242	17944315	-	1074	0	0	0	0	0	0
gene:AT1G48540	1	17945369	17950598	+	5230	679	113	374	392	389	152
gene:AT1G48550	1	17950569	17952743	-	2175	0	4	0	45	84	3
gene:AT1G48560	1	17952854	17955509	+	2656	225	9	1	21	90	32
gene:AT1G48570	1	17953870	17957719	-	3850	373	76	26	121	306	126
gene:AT1G48580	1	17957942	17960916	-	2975	1	38	0	39	72	9
gene:AT1G48590	1	17962520	17964465	+	1946	0	0	0	0	0	0
gene:AT1G48600	1	17965871	17969354	+	3484	2763	675	862	2459	2126	1180
gene:AT1G48605	1	17969395	17970551	-	1157	1	0	0	0	1	1
gene:AT1G48610	1	17970611	17973402	-	2792	149	21	50	126	156	131
gene:AT1G48620	1	17973642	17976663	-	3022	851	351	200	603	697	261
gene:AT1G48630	1	17981636	17983377	-	1742	1209	449	627	371	598	204
gene:AT1G48635	1	17983646	17986292	+	2647	77	141	182	122	157	77
gene:AT1G48640	1	17986303	17989163	+	2861	8	35	9	0	0	0
gene:AT1G48650	1	17989131	17995339	-	6209	839	99	194	224	608	107
gene:AT1G48660	1	17995785	17998037	-	2253	0	0	0	0	0	0
gene:AT1G48670	1	17998795	18001289	-	2495	0	0	0	0	1	0
gene:AT1G48690	1	18008813	18010086	-	1274	0	0	0	0	0	0
gene:AT1G48700	1	18011035	18013257	-	2223	0	0	0	0	1	0
gene:AT1G48720	1	18017730	18018458	+	729	0	0	0	0	0	0
gene:AT1G48725	1	18019274	18020642	+	1369	0	0	1	0	0	0
gene:AT1G48730	1	18020337	18022277	-	1941	0	0	1	0	0	0
gene:AT1G48740	1	18023378	18026097	-	2720	0	0	0	3	0	0
gene:AT1G48745	1	18030704	18031593	+	890	143	0	0	35	9	12
gene:AT1G48750	1	18035967	18036510	+	544	43	9	13	181	155	106
gene:AT1G48760	1	18035967	18039405	-	3439	559	158	139	488	458	185
gene:AT1G48770	1	18040129	18041447	+	1319	47	1	7	40	52	12
gene:AT1G48780	1	18041380	18042886	+	1507	142	15	1	40	58	19
gene:AT1G48790	1	18043672	18047806	-	4135	1006	80	194	286	312	94
gene:AT1G48800	1	18049810	18053152	+	3343	5	0	0	0	0	0
gene:AT1G48820	1	18055229	18059521	+	4293	0	0	0	0	0	0
gene:AT1G48830	1	18059450	18061302	-	1853	765	263	252	445	712	269
gene:AT1G48840	1	18061356	18065031	+	3676	411	293	71	150	229	43
gene:AT1G48850	1	18064905	18068154	-	3250	3966	1446	805	563	750	407
gene:AT1G48860	1	18068698	18071667	-	2970	503	78	155	284	459	157
gene:AT1G48870	1	18072123	18076405	-	4283	35	0	0	12	9	20
gene:AT1G48880	1	18080408	18082925	+	2518	24	2	27	47	77	53
gene:AT1G48900	1	18084715	18087934	-	3220	1145	285	323	449	422	304
gene:AT1G48910	1	18091681	18093878	+	2198	9	0	0	0	1	0
gene:AT1G48912	1	18094900	18095046	+	147	0	0	0	0	0	0
gene:AT1G48920	1	18098081	18101732	+	3652	6934	2122	2423	1475	2294	1053
gene:AT1G48930	1	18101643	18104768	-	3126	0	0	0	15	1	0
gene:AT1G48940	1	18105808	18106455	-	648	0	0	0	0	0	0
gene:AT1G48950	1	18106860	18110386	+	3527	448	68	228	226	114	67
gene:AT1G48953	1	18110814	18111463	-	650	0	0	0	0	0	0
gene:AT1G48960	1	18112458	18113733	+	1276	0	30	31	103	17	51
gene:AT1G48970	1	18113714	18117833	-	4120	552	158	169	208	229	104
gene:AT1G48980	1	18118017	18120667	+	2651	97	15	30	0	0	1
gene:AT1G48990	1	18121434	18122155	+	722	0	0	0	0	0	0
gene:AT1G49000	1	18123071	18124289	-	1219	0	32	40	0	0	0
gene:AT1G49005	1	18128524	18131522	-	2999	0	0	0	0	0	0
gene:AT1G49010	1	18132545	18134017	+	1473	22	41	63	291	468	233
gene:AT1G49015	1	18134528	18135312	+	785	0	0	0	0	1	0
gene:AT1G49030	1	18136666	18138080	+	1415	0	0	2	0	0	0
gene:AT1G49032	1	18137977	18139131	+	1155	826	353	299	167	189	137
gene:AT1G49040	1	18139174	18149019	-	9846	1240	254	331	277	558	210
gene:AT1G49050	1	18150466	18153364	+	2899	1259	264	366	45	75	81
gene:AT1G49100	1	18166128	18170105	-	3978	0	0	0	0	1	0
gene:AT1G49110	1	18171563	18172450	+	888	0	0	0	0	1	0
gene:AT1G49120	1	18173427	18174416	+	990	0	0	0	0	0	2
gene:AT1G49130	1	18174373	18176389	-	2017	57	0	48	132	322	99
gene:AT1G49140	1	18176772	18179264	-	2493	591	157	68	193	244	125
gene:AT1G49150	1	18178479	18179228	+	750	137	112	6	0	1	0
gene:AT1G49160	1	18179250	18182510	-	3261	2	0	3	0	9	0
gene:AT1G49170	1	18183184	18184583	-	1400	67	14	0	40	19	21
gene:AT1G49180	1	18184654	18187529	-	2876	145	0	29	132	140	175
gene:AT1G49190	1	18191267	18193782	+	2516	0	0	0	0	0	0
gene:AT1G49200	1	18198227	18199168	+	942	92	0	53	125	362	129
gene:AT1G49205	1	18198298	18200366	-	2069	92	0	53	109	330	128
gene:AT1G49210	1	18201889	18202764	+	876	0	0	18	62	123	38
gene:AT1G49220	1	18205934	18206701	+	768	0	0	0	14	4	0
gene:AT1G49225	1	18206312	18211390	-	5079	373	129	79	389	531	170
gene:AT1G49230	1	18209194	18210177	+	984	373	129	79	384	512	170
gene:AT1G49240	1	18215800	18218339	+	2540	2815	759	1011	1776	2162	742
gene:AT1G49245	1	18218341	18219269	+	929	56	25	9	15	89	12
gene:AT1G49250	1	18220533	18224325	+	3793	0	0	0	0	0	0
gene:AT1G49260	1	18225870	18226967	+	1098	0	0	0	0	0	0
gene:AT1G49270	1	18227122	18230330	-	3209	2	0	0	0	0	0
gene:AT1G49290	1	18232407	18233680	-	1274	0	0	0	0	0	0
gene:AT1G49300	1	18234679	18237543	+	2865	198	92	220	478	332	310
gene:AT1G49310	1	18237701	18238497	-	797	0	0	0	0	0	0
gene:AT1G49320	1	18246305	18248088	+	1784	199	0	19	2	8	2
gene:AT1G49330	1	18249866	18251038	+	1173	0	0	0	1	0	0
gene:AT1G49340	1	18252050	18264672	+	12623	1941	356	635	716	1013	329
gene:AT1G49350	1	18264944	18267270	+	2327	0	24	26	66	71	53
gene:AT1G49360	1	18267231	18269465	-	2235	284	76	19	26	103	4
gene:AT1G49380	1	18276643	18279532	+	2890	205	42	146	239	444	122
gene:AT1G49390	1	18279559	18281122	+	1564	0	0	0	0	1	0
gene:AT1G49400	1	18282968	18284202	+	1235	307	50	67	147	259	201
gene:AT1G49405	1	18284270	18285418	-	1149	186	0	6	0	22	0
gene:AT1G49410	1	18285306	18287034	-	1729	1077	139	274	162	291	146
gene:AT1G49420	1	18287859	18288650	-	792	1	0	0	0	0	0
gene:AT1G49430	1	18290942	18295905	+	4964	2	0	38	0	17	0
gene:AT1G49435	1	18299430	18299862	-	433	0	0	0	0	0	0
gene:AT1G49450	1	18305445	18307557	+	2113	244	27	15	1	11	0
gene:AT1G49470	1	18310428	18311714	+	1287	84	47	11	566	486	279
gene:AT1G49475	1	18312883	18314099	+	1217	1	0	0	46	100	36
gene:AT1G49480	1	18314117	18316861	-	2745	217	63	61	352	708	262
gene:AT1G49490	1	18317259	18320210	-	2952	141	24	46	87	71	40
gene:AT1G49500	1	18320490	18322505	-	2016	555	28	120	198	536	191
gene:AT1G49510	1	18326846	18328714	+	1869	84	38	25	155	268	50
gene:AT1G49520	1	18329659	18332102	+	2444	110	3	52	43	79	32
gene:AT1G49530	1	18332429	18333689	+	1261	0	7	0	24	17	9
gene:AT1G49540	1	18333623	18337520	-	3898	267	39	80	95	177	32
gene:AT1G49560	1	18342451	18344452	+	2002	281	103	53	203	192	59
gene:AT1G49570	1	18346958	18349049	+	2092	0	0	0	0	0	0
gene:AT1G49580	1	18351324	18354634	+	3311	2	0	25	60	111	76
gene:AT1G49590	1	18354744	18356733	+	1990	465	20	142	413	164	159
gene:AT1G49600	1	18356799	18360447	-	3649	851	493	294	1095	1479	664
gene:AT1G49610	1	18361679	18363192	-	1514	0	0	29	0	4	3
gene:AT1G49620	1	18365336	18366744	-	1409	47	53	16	64	62	47
gene:AT1G49630	1	18367590	18375494	-	7905	123	75	144	240	500	72
gene:AT1G49640	1	18375538	18376806	-	1269	0	0	0	0	0	0
gene:AT1G49650	1	18377154	18378634	-	1481	328	36	45	147	152	100
gene:AT1G49660	1	18378634	18379901	-	1268	216	96	42	341	410	310
gene:AT1G49670	1	18380804	18386146	-	5343	555	113	158	315	526	107
gene:AT1G49680	1	18386867	18387166	+	300	0	0	0	0	0	0
gene:AT1G49700	1	18388792	18390523	-	1732	369	151	56	107	116	146
gene:AT1G49710	1	18391273	18394030	-	2758	139	4	50	140	213	123
gene:AT1G49715	1	18396744	18397454	-	711	0	0	0	0	0	0
gene:AT1G49720	1	18400003	18402628	+	2626	164	138	106	221	303	80
gene:AT1G49730	1	18402506	18405681	-	3176	768	17	42	236	293	119
gene:AT1G49740	1	18407400	18410022	+	2623	189	39	83	226	496	200
gene:AT1G49750	1	18410857	18413016	-	2160	6134	1405	1644	2657	3641	1491
gene:AT1G49760	1	18416474	18420111	+	3638	1855	372	640	657	1149	382
gene:AT1G49770	1	18424578	18426782	+	2205	0	0	0	0	0	0
gene:AT1G49780	1	18428788	18430497	-	1710	171	60	67	110	79	86
gene:AT1G49790	1	18435351	18437131	-	1781	0	0	0	0	16	0
gene:AT1G49800	1	18438012	18439115	-	1104	0	0	0	0	0	0
gene:AT1G49810	1	18439945	18442237	-	2293	0	0	0	0	0	0
gene:AT1G49820	1	18442882	18445350	+	2469	734	129	249	151	306	179
gene:AT1G49830	1	18445111	18446772	-	1662	12	0	0	0	0	0
gene:AT1G49840	1	18451746	18454463	+	2718	5	7	27	217	425	116
gene:AT1G49850	1	18454844	18456619	-	1776	24	63	30	134	291	167
gene:AT1G49860	1	18458526	18459969	+	1444	1	0	0	0	1	0
gene:AT1G49870	1	18460158	18463791	+	3634	4	7	8	70	200	66
gene:AT1G49880	1	18463998	18466085	+	2088	236	0	16	32	41	36
gene:AT1G49890	1	18470046	18473833	+	3788	504	64	103	414	351	162
gene:AT1G49900	1	18473908	18477643	-	3736	96	0	3	0	0	0
gene:AT1G49910	1	18478951	18481539	+	2589	0	5	7	35	8	27
gene:AT1G49920	1	18481584	18484393	-	2810	0	0	0	9	8	7
gene:AT1G49930	1	18484932	18485639	+	708	0	0	0	0	0	0
gene:AT1G49940	1	18488127	18491769	-	3643	223	17	2	8	34	0
gene:AT1G49950	1	18494029	18497318	-	3290	854	109	290	159	174	62
gene:AT1G49960	1	18498639	18501886	+	3248	254	50	12	33	62	23
gene:AT1G49970	1	18501570	18504654	-	3085	2143	456	720	1153	1522	516
gene:AT1G49975	1	18504757	18506184	+	1428	247	121	73	235	364	146
gene:AT1G49980	1	18507922	18513340	+	5419	44	68	31	212	193	64
gene:AT1G49990	1	18513624	18515099	+	1476	0	0	0	21	57	21
gene:AT1G50000	1	18515059	18517290	-	2232	88	0	12	60	72	32
gene:AT1G50010	1	18517586	18520000	+	2415	3497	792	929	1807	1593	1103
gene:AT1G50020	1	18519946	18521781	-	1836	280	65	142	110	413	173
gene:AT1G50030	1	18522248	18539995	-	17748	1255	761	614	1248	1425	648
gene:AT1G50040	1	18542061	18544034	+	1974	91	6	1	44	72	29
gene:AT1G50050	1	18546086	18549046	+	2961	0	0	0	1	17	13
gene:AT1G50060	1	18551121	18552660	+	1540	4	0	1	0	3	0
gene:AT1G50080	1	18554001	18554276	-	276	0	0	0	0	0	0
gene:AT1G50090	1	18554564	18556826	-	2263	0	0	0	0	0	1
gene:AT1G50110	1	18557984	18560391	-	2408	4	88	1	50	25	0
gene:AT1G50120	1	18561728	18566269	+	4542	268	33	17	517	331	173
gene:AT1G50140	1	18569686	18579182	-	9497	872	40	258	215	537	205
gene:AT1G50160	1	18581429	18581650	+	222	176	0	0	0	0	0
gene:AT1G50170	1	18581998	18583832	+	1835	146	117	85	87	156	110
gene:AT1G50180	1	18583964	18587136	+	3173	0	0	23	5	83	22
gene:AT1G50190	1	18588229	18590799	-	2571	0	0	0	3	25	0
gene:AT1G50200	1	18591194	18598569	-	7376	3030	748	752	1526	1661	867
gene:AT1G50220	1	18602958	18604826	-	1869	0	0	0	0	0	0
gene:AT1G50240	1	18606511	18614500	+	7990	1061	72	194	158	345	116
gene:AT1G50250	1	18614201	18617155	-	2955	1404	233	602	1150	1188	522
gene:AT1G50260	1	18617593	18621957	-	4365	65	4	48	81	65	47
gene:AT1G50270	1	18622017	18624250	+	2234	109	2	28	87	51	30
gene:AT1G50280	1	18623698	18626441	-	2744	118	35	1	69	152	28
gene:AT1G50290	1	18627551	18628452	-	902	41	36	15	18	29	12
gene:AT1G50300	1	18628555	18632039	-	3485	345	178	184	231	219	83
gene:AT1G50310	1	18635955	18638449	+	2495	21	3	15	31	43	5
gene:AT1G50320	1	18638384	18639536	-	1153	798	180	283	418	917	239
gene:AT1G50325	1	18639874	18640488	-	615	0	0	0	0	0	0
gene:AT1G50340	1	18647376	18647849	-	474	0	0	0	0	0	0
gene:AT1G50350	1	18648645	18649227	+	583	0	0	0	0	0	0
gene:AT1G50360	1	18649706	18657400	+	7695	803	283	269	478	520	217
gene:AT1G50370	1	18658508	18662052	+	3545	399	132	148	226	306	147
gene:AT1G50380	1	18662266	18666515	+	4250	232	146	138	113	227	64
gene:AT1G50390	1	18666986	18667677	-	692	0	0	0	0	1	1
gene:AT1G50400	1	18668010	18670576	+	2567	306	10	26	9	11	0
gene:AT1G50410	1	18672132	18677652	+	5521	607	226	336	182	320	94
gene:AT1G50420	1	18677694	18680300	-	2607	268	5	22	68	76	52
gene:AT1G50430	1	18681932	18685652	-	3721	638	406	658	406	474	225
gene:AT1G50440	1	18685769	18687907	+	2139	1385	515	527	136	188	109
gene:AT1G50450	1	18687785	18690503	-	2719	238	83	90	123	269	140
gene:AT1G50460	1	18693644	18697709	+	4066	219	242	234	927	368	351
gene:AT1G50470	1	18700000	18700444	-	445	0	0	0	0	0	0
gene:AT1G50480	1	18701882	18704938	+	3057	1457	621	360	1193	1453	475
gene:AT1G50490	1	18704805	18706657	-	1853	175	64	52	270	257	126
gene:AT1G50500	1	18707924	18716118	-	8195	229	102	183	273	487	236
gene:AT1G50510	1	18716112	18719336	+	3225	217	0	3	79	133	65
gene:AT1G50520	1	18719378	18721219	+	1842	4	1	0	21	15	7
gene:AT1G50530	1	18721212	18721729	-	518	0	1	0	0	0	3
gene:AT1G50560	1	18724190	18726272	+	2083	16	62	51	33	38	15
gene:AT1G50570	1	18726235	18728369	-	2135	1855	239	371	469	529	257
gene:AT1G50575	1	18728634	18730498	-	1865	0	0	47	238	109	75
gene:AT1G50580	1	18730759	18732238	+	1480	0	0	0	0	0	0
gene:AT1G50590	1	18732378	18734199	-	1822	0	0	12	5	58	61
gene:AT1G50600	1	18737063	18739649	-	2587	2491	782	844	809	753	351
gene:AT1G50610	1	18742027	18744805	+	2779	319	0	13	0	8	0
gene:AT1G50620	1	18748241	18751338	+	3098	248	61	81	138	280	228
gene:AT1G50630	1	18751456	18753941	-	2486	468	59	42	219	256	163
gene:AT1G50640	1	18756972	18758708	-	1737	2511	522	725	335	484	259
gene:AT1G50650	1	18763640	18764367	-	728	0	0	0	0	0	0
gene:AT1G50660	1	18770937	18774759	+	3823	520	100	233	360	399	168
gene:AT1G50670	1	18774805	18777030	-	2226	887	83	175	304	440	167
gene:AT1G50680	1	18777601	18778614	-	1014	0	0	0	0	0	0
gene:AT1G50690	1	18779606	18780693	+	1088	0	0	0	0	0	0
gene:AT1G50700	1	18781764	18784582	+	2819	0	9	79	88	77	75
gene:AT1G50710	1	18784509	18787802	-	3294	177	95	44	46	126	38
gene:AT1G50720	1	18789127	18789687	-	561	0	0	0	0	0	0
gene:AT1G50730	1	18795210	18802370	+	7161	533	199	212	289	362	166
gene:AT1G50732	1	18802552	18803755	+	1204	74	0	0	101	179	35
gene:AT1G50740	1	18807672	18809035	+	1364	517	145	77	87	218	115
gene:AT1G50745	1	18808866	18810504	-	1639	175	0	21	0	8	1
gene:AT1G50750	1	18810603	18812050	-	1448	146	0	18	1	2	0
gene:AT1G50760	1	18814947	18815309	-	363	0	0	0	0	0	0
gene:AT1G50770	1	18818459	18820503	-	2045	0	0	0	0	0	0
gene:AT1G50780	1	18821267	18823156	+	1890	0	0	0	0	0	0
gene:AT1G50790	1	18823822	18826637	-	2816	0	50	1	4	28	36
gene:AT1G50820	1	18827706	18834861	-	7156	3	1	0	0	1	1
gene:AT1G50830	1	18835271	18838029	-	2759	0	2	0	0	0	0
gene:AT1G50840	1	18839047	18844577	+	5531	461	72	131	285	395	241
gene:AT1G50870	1	18855147	18856337	+	1191	0	0	0	0	1	0
gene:AT1G50880	1	18860837	18861982	+	1146	0	0	0	0	0	0
gene:AT1G50890	1	18862154	18866113	-	3960	114	62	77	43	107	80
gene:AT1G50900	1	18866197	18867204	+	1008	810	106	143	283	743	350
gene:AT1G50910	1	18866753	18869933	-	3181	561	53	82	274	460	146
gene:AT1G50920	1	18870059	18872968	+	2910	4164	1479	1172	1084	1577	636
gene:AT1G50930	1	18876810	18877844	+	1035	0	0	0	0	6	0
gene:AT1G50940	1	18877812	18880012	-	2201	64	26	125	102	116	91
gene:AT1G50950	1	18880112	18884326	+	4215	409	43	200	13	86	53
gene:AT1G50960	1	18889473	18891838	+	2366	0	0	0	0	0	0
gene:AT1G50970	1	18896142	18900369	+	4228	661	0	1	31	68	35
gene:AT1G50980	1	18900541	18902057	-	1517	0	0	0	0	1	0
gene:AT1G50990	1	18902678	18905490	+	2813	1	0	0	22	4	0
gene:AT1G51000	1	18909913	18910169	+	257	0	0	0	0	0	0
gene:AT1G51010	1	18911389	18912001	+	613	0	0	0	0	0	0
gene:AT1G51020	1	18913110	18913828	+	719	0	0	0	0	0	0
gene:AT1G51030	1	18915134	18915596	+	463	0	0	0	0	0	0
gene:AT1G51035	1	18917415	18917891	+	477	0	0	0	0	0	0
gene:AT1G51040	1	18920658	18923319	+	2662	0	0	0	0	0	0
gene:AT1G51055	1	18925212	18926315	-	1104	0	0	0	1	16	0
gene:AT1G51060	1	18926811	18927746	+	936	327	76	194	286	645	180
gene:AT1G51070	1	18927810	18929762	+	1953	695	167	433	199	468	200
gene:AT1G51080	1	18929744	18930811	-	1068	345	1	37	50	48	18
gene:AT1G51090	1	18932766	18934049	+	1284	53	50	30	29	6	0
gene:AT1G51100	1	18934299	18935299	+	1001	346	5	31	140	272	130
gene:AT1G51110	1	18935301	18937665	+	2365	519	133	215	326	528	230
gene:AT1G51120	1	18938091	18939149	+	1059	0	0	0	0	0	0
gene:AT1G51130	1	18939194	18941719	-	2526	0	84	56	4	38	23
gene:AT1G51140	1	18943447	18945812	-	2366	82	37	135	173	245	120
gene:AT1G51150	1	18948370	18949290	-	921	0	0	0	0	0	0
