"","trt_1","trt_2","trt_3","ctr_1","ctr_2","ctr_3"
"gene:AT1G52270",0,79,0,0,0,12
"gene:AT1G52280",280,0,72,82,139,52
"gene:AT1G52290",29,5,32,65,75,41
"gene:AT1G52300",1299,138,377,706,1086,326
"gene:AT1G52310",165,81,92,122,196,58
"gene:AT1G52315",153,50,12,50,63,29
"gene:AT1G52320",1026,208,262,411,345,313
"gene:AT1G52325",0,6,0,0,0,0
"gene:AT1G52330",0,0,1,0,9,0
"gene:AT1G52340",1,5,58,413,235,173
"gene:AT1G52342",0,0,35,177,216,153
"gene:AT1G52343",0,0,0,0,0,0
"gene:AT1G52360",2716,910,793,989,1230,464
"gene:AT1G52370",277,3,43,103,119,55
"gene:AT1G52380",201,132,164,116,318,45
"gene:AT1G52390",0,0,0,0,0,0
"gene:AT1G52400",626,106,192,31,92,15
"gene:AT1G52410",379,240,256,83,262,10
"gene:AT1G52415",0,0,0,0,0,0
"gene:AT1G52420",282,113,118,304,454,201
"gene:AT1G52430",10,0,11,4,0,20
"gene:AT1G52440",0,0,0,0,0,0
"gene:AT1G52450",0,0,0,0,29,37
"gene:AT1G52460",0,0,0,2,0,0
"gene:AT1G52470",0,0,0,0,0,0
"gene:AT1G52490",0,0,0,0,0,3
"gene:AT1G52495",0,0,0,0,0,0
"gene:AT1G52500",521,63,134,161,166,165
"gene:AT1G52510",856,300,197,353,578,396
"gene:AT1G52520",0,54,19,105,107,52
"gene:AT1G52530",0,0,4,25,1,0
"gene:AT1G52540",378,161,180,51,68,89
"gene:AT1G52550",14,0,0,80,15,7
"gene:AT1G52560",0,0,0,0,0,0
"gene:AT1G52565",373,50,23,1,20,0
"gene:AT1G52570",258,6,13,118,57,4
"gene:AT1G52580",0,0,0,12,10,0
"gene:AT1G52590",132,2,14,87,138,24
"gene:AT1G52600",148,41,62,201,204,46
"gene:AT1G52603",1,0,0,0,0,0
"gene:AT1G52618",0,0,0,1,73,43
"gene:AT1G52620",0,0,17,92,87,18
"gene:AT1G52630",205,16,28,68,54,46
"gene:AT1G52640",2,16,14,56,10,3
"gene:AT1G52650",0,0,0,0,0,0
"gene:AT1G52660",2,0,0,1,4,0
"gene:AT1G52670",377,76,87,233,419,118
"gene:AT1G52680",0,0,0,0,7,0
"gene:AT1G52690",0,0,34,0,0,0
"gene:AT1G52695",4,0,0,0,0,0
"gene:AT1G52700",115,24,58,180,163,120
"gene:AT1G52710",160,0,103,120,127,110
"gene:AT1G52720",188,74,69,124,132,47
"gene:AT1G52730",373,43,173,256,212,66
"gene:AT1G52740",460,116,189,636,734,456
"gene:AT1G52750",3,0,1,0,45,41
"gene:AT1G52760",591,277,306,453,536,221
"gene:AT1G52770",0,0,0,28,65,3
"gene:AT1G52780",1469,478,592,252,373,170
"gene:AT1G52790",0,0,0,9,14,0
"gene:AT1G52800",2,0,0,0,10,0
"gene:AT1G52810",0,0,0,0,0,0
"gene:AT1G52820",0,0,0,16,21,6
"gene:AT1G52825",0,5,17,133,78,61
"gene:AT1G52827",2,3,2,0,0,0
"gene:AT1G52830",0,0,0,0,0,0
"gene:AT1G52857",0,0,0,0,0,0
"gene:AT1G52855",0,0,0,0,0,0
"gene:AT1G52870",444,141,141,345,524,237
"gene:AT1G52880",4,0,7,21,33,78
"gene:AT1G52890",1014,78,277,2,1,0
"gene:AT1G52900",60,0,0,0,1,0
"gene:AT1G52905",124,148,9,17,50,19
"gene:AT1G52910",0,22,0,0,12,4
"gene:AT1G52920",0,0,0,0,0,0
"gene:AT1G52930",272,14,103,130,229,96
"gene:AT1G52940",0,1,0,0,2,0
"gene:AT1G52950",0,0,0,0,0,0
"gene:AT1G52970",0,0,0,0,0,0
"gene:AT1G52980",2279,247,475,480,627,412
"gene:AT1G52990",106,0,0,0,0,1
"gene:AT1G53000",8,64,10,200,271,96
"gene:AT1G53010",0,0,0,0,0,0
"gene:AT1G53023",0,0,3,0,0,0
"gene:AT1G53025",10,66,87,12,71,15
"gene:AT1G53030",105,53,61,116,42,83
"gene:AT1G53035",0,2,74,65,35,40
"gene:AT1G53040",279,135,146,171,285,96
"gene:AT1G53050",606,29,97,238,318,217
"gene:AT1G53060",0,0,5,0,0,1
"gene:AT1G53070",79,0,38,71,108,16
"gene:AT1G53080",35,0,14,0,0,0
"gene:AT1G53090",191,50,33,191,197,113
"gene:AT1G53100",0,0,1,0,1,0
"gene:AT1G53110",213,79,128,126,81,58
"gene:AT1G53120",4,4,36,75,98,47
"gene:AT1G53130",0,1,0,0,0,0
"gene:AT1G53140",11,0,33,22,92,38
"gene:AT1G53160",0,0,0,711,433,418
"gene:AT1G53163",0,0,17,18,36,28
"gene:AT1G53165",604,274,192,278,325,219
"gene:AT1G53170",219,86,97,34,69,69
"gene:AT1G53180",0,3,0,0,3,0
"gene:AT1G53190",300,122,51,139,293,53
"gene:AT1G53200",292,7,101,52,77,42
"gene:AT1G53210",2384,871,701,1784,2424,970
"gene:AT1G53230",574,310,417,468,398,391
"gene:AT1G53240",1986,821,928,1324,2227,1103
"gene:AT1G53250",80,0,71,137,106,105
"gene:AT1G53260",0,0,1,0,1,0
"gene:AT1G53265",0,0,0,0,0,0
"gene:AT1G53270",0,26,1,10,3,0
"gene:AT1G53280",750,81,98,416,650,111
"gene:AT1G53282",0,0,0,0,0,0
"gene:AT1G53285",0,0,0,0,0,0
"gene:AT1G53290",0,2,174,67,142,53
"gene:AT1G53300",917,248,228,310,542,215
"gene:AT1G53310",972,308,660,827,1229,341
"gene:AT1G53320",378,243,150,96,217,80
"gene:AT1G53325",0,0,0,0,0,0
"gene:AT1G53330",20,34,75,14,32,0
"gene:AT1G53340",0,11,0,0,2,1
"gene:AT1G53345",0,0,14,15,28,0
"gene:AT1G53350",285,159,80,325,218,209
"gene:AT1G53360",0,0,0,0,0,0
"gene:AT1G53366",0,0,0,0,0,0
"gene:AT1G53370",0,0,0,0,0,0
"gene:AT1G53380",538,119,109,213,425,78
"gene:AT1G53390",982,259,297,83,231,142
"gene:AT1G53400",698,36,173,160,252,168
"gene:AT1G53420",6,3,8,2,13,0
"gene:AT1G53430",2142,826,836,344,423,188
"gene:AT1G53440",3509,1114,807,378,708,330
"gene:AT1G53450",808,259,222,160,327,127
"gene:AT1G53460",320,50,116,201,131,138
"gene:AT1G53470",4,0,0,0,10,1
"gene:AT1G53480",8,0,0,0,0,1
"gene:AT1G53490",19,0,16,12,20,1
"gene:AT1G53500",1160,299,288,417,531,207
"gene:AT1G53510",367,332,280,435,894,186
"gene:AT1G53520",22,0,20,90,230,109
"gene:AT1G53530",7,0,6,11,106,21
"gene:AT1G53540",34,4,1,0,4,2
"gene:AT1G53541",269,126,130,131,68,55
"gene:AT1G53542",71,0,0,5,19,40
"gene:AT1G53550",0,0,0,0,0,0
"gene:AT1G53560",3,48,10,116,75,79
"gene:AT1G53570",658,352,170,253,282,141
"gene:AT1G53580",1264,342,138,226,280,142
"gene:AT1G53590",680,95,240,182,316,159
"gene:AT1G53600",1,0,9,58,45,35
"gene:AT1G53610",5,1,0,0,0,0
"gene:AT1G53620",231,0,13,0,0,0
"gene:AT1G53625",1820,646,342,0,1,5
"gene:AT1G53633",2,30,11,0,17,0
"gene:AT1G53635",0,0,0,0,0,0
"gene:AT1G53640",0,0,1,1,0,0
"gene:AT1G53645",561,112,165,216,217,54
"gene:AT1G53650",2,18,2,167,233,76
"gene:AT1G53655",0,0,0,0,0,0
"gene:AT1G53660",1,0,0,18,0,0
"gene:AT1G53670",385,84,115,146,246,132
"gene:AT1G53680",7,0,0,5,24,0
"gene:AT1G53690",186,55,11,9,46,0
"gene:AT1G53700",0,0,27,0,0,0
"gene:AT1G53705",0,0,0,1,0,0
"gene:AT1G53708",0,0,0,0,0,1
"gene:AT1G53710",442,12,78,244,119,64
"gene:AT1G53720",333,10,143,214,165,119
"gene:AT1G53730",137,169,42,265,486,155
"gene:AT1G53750",4239,675,1025,950,1134,514
"gene:AT1G53760",47,2,49,26,117,87
"gene:AT1G53770",186,22,37,97,130,67
"gene:AT1G53780",863,363,486,496,513,197
"gene:AT1G53790",3,7,0,0,15,0
"gene:AT1G53800",528,127,139,417,672,284
"gene:AT1G53815",0,0,0,0,0,0
"gene:AT1G53820",0,0,0,0,0,0
"gene:AT1G53830",2,0,0,0,6,0
"gene:AT1G53840",662,218,236,212,516,230
"gene:AT1G53850",925,570,94,335,479,215
"gene:AT1G53860",0,0,0,0,1,25
"gene:AT1G53870",0,0,0,0,0,0
"gene:AT1G53875",0,0,0,0,0,0
"gene:AT1G53880",0,0,0,0,0,0
"gene:AT1G53885",0,0,0,0,0,0
"gene:AT1G53887",0,9,0,2,2,0
"gene:AT1G53890",0,0,0,0,0,0
"gene:AT1G53900",0,0,0,0,0,0
"gene:AT1G53903",0,0,0,0,0,0
"gene:AT1G53910",829,359,423,910,817,391
"gene:AT1G53920",1,7,4,4,35,32
"gene:AT1G53930",1,0,0,0,0,0
"gene:AT1G53935",1,0,0,0,0,0
"gene:AT1G53940",0,0,1,0,0,0
"gene:AT1G53945",0,0,0,0,0,0
"gene:AT1G53950",1,0,25,0,0,0
"gene:AT1G53970",323,39,52,0,0,0
"gene:AT1G53980",97,17,15,0,0,0
"gene:AT1G53990",3,80,51,0,0,0
"gene:AT1G54000",19,63,33,2,28,8
"gene:AT1G54010",2,176,59,24,28,0
"gene:AT1G54020",0,0,5,0,0,0
"gene:AT1G54030",537,137,141,59,114,24
"gene:AT1G54040",0,0,7,0,2,0
"gene:AT1G54050",4,70,5,3,45,18
"gene:AT1G54060",254,144,144,335,249,132
"gene:AT1G54070",0,0,0,0,2,0
"gene:AT1G54080",1338,514,538,984,1067,447
"gene:AT1G54090",877,292,290,150,355,70
"gene:AT1G54095",74,0,10,0,0,1
"gene:AT1G54100",1107,341,498,357,361,187
"gene:AT1G54110",119,0,6,34,32,30
"gene:AT1G54115",1291,153,442,226,153,76
"gene:AT1G54120",0,0,1,0,2,0
"gene:AT1G54130",975,184,246,512,670,262
"gene:AT1G54140",523,72,91,116,124,76
"gene:AT1G54150",536,185,96,75,127,59
"gene:AT1G54160",1,35,10,25,74,11
"gene:AT1G54170",1379,272,466,281,378,115
"gene:AT1G54180",0,2,0,18,44,8
"gene:AT1G54200",180,108,103,248,216,21
"gene:AT1G54210",126,107,48,38,63,7
"gene:AT1G54215",0,0,0,0,3,0
"gene:AT1G54217",24,12,19,9,18,1
"gene:AT1G54220",142,14,39,137,252,36
"gene:AT1G54230",0,0,0,0,0,0
"gene:AT1G54240",0,0,0,0,0,0
"gene:AT1G54250",164,36,50,75,153,6
"gene:AT1G54260",1571,168,180,53,193,98
"gene:AT1G54270",2807,1109,797,527,1041,280
"gene:AT1G54280",0,0,0,2,1,0
"gene:AT1G54290",291,8,31,73,93,49
"gene:AT1G54300",0,0,0,0,0,0
"gene:AT1G54310",0,1,22,62,93,20
"gene:AT1G54320",1010,499,695,525,559,289
"gene:AT1G54330",0,0,0,0,6,0
"gene:AT1G54340",455,38,109,323,313,118
"gene:AT1G54350",656,215,149,447,715,279
"gene:AT1G54360",212,119,80,235,222,106
"gene:AT1G54370",251,88,54,159,150,111
"gene:AT1G54380",406,63,210,136,79,61
"gene:AT1G54385",3,4,0,51,122,63
"gene:AT1G54390",618,29,71,117,218,110
"gene:AT1G54400",0,0,0,0,2,17
"gene:AT1G54410",174985,25893,46336,40244,44911,32275
"gene:AT1G54420",0,0,1,0,0,0
"gene:AT1G54440",94,67,71,277,270,16
"gene:AT1G54445",0,0,0,0,0,0
"gene:AT1G54450",83,80,9,21,40,4
"gene:AT1G54460",637,171,190,378,436,158
"gene:AT1G54470",10,30,1,14,2,23
"gene:AT1G54475",0,0,0,0,9,0
"gene:AT1G54490",1100,222,307,378,612,215
"gene:AT1G54500",629,293,469,979,1143,534
"gene:AT1G54510",294,13,51,97,106,61
"gene:AT1G54520",818,67,189,416,599,326
"gene:AT1G54530",0,0,26,20,29,24
"gene:AT1G54540",0,0,2,0,0,0
"gene:AT1G54550",0,0,0,0,0,2
"gene:AT1G54560",1,0,0,5,1,0
"gene:AT1G54570",36,14,78,168,252,94
"gene:AT1G54575",232,174,174,69,53,16
"gene:AT1G54580",703,225,167,831,1538,742
"gene:AT1G54590",0,0,0,0,1,0
"gene:AT1G54610",872,243,219,562,502,251
"gene:AT1G54620",0,0,0,0,0,0
"gene:AT1G54630",902,347,205,621,848,282
"gene:AT1G54640",0,0,1,0,0,0
"gene:AT1G54650",0,0,6,116,62,28
"gene:AT1G54680",168,1,11,4,91,8
"gene:AT1G54690",495,34,28,116,246,22
"gene:AT1G54700",0,0,0,0,0,0
"gene:AT1G54710",895,197,297,196,409,144
"gene:AT1G54720",0,0,0,0,0,0
"gene:AT1G54730",33,2,27,138,123,62
"gene:AT1G54740",109,47,27,159,191,92
"gene:AT1G54760",52,0,0,0,0,9
"gene:AT1G54770",187,7,46,135,134,43
"gene:AT1G54773",0,0,0,0,10,0
"gene:AT1G54775",0,10,0,0,0,0
"gene:AT1G54780",1561,356,1092,1347,2155,1002
"gene:AT1G54790",299,36,134,144,187,108
"gene:AT1G54820",200,6,126,171,352,88
"gene:AT1G54830",153,149,127,397,177,282
"gene:AT1G54840",5,1,0,2,5,2
"gene:AT1G54850",6,29,6,50,70,19
"gene:AT1G54860",4,0,0,1,0,5
"gene:AT1G54870",0,0,0,0,0,0
"gene:AT1G54890",5,0,14,11,2,13
"gene:AT1G54920",384,132,218,617,433,191
"gene:AT1G54930",90,0,13,10,0,0
"gene:AT1G54940",4,0,0,0,2,0
"gene:AT1G54950",0,0,0,0,0,1
"gene:AT1G54953",0,0,0,0,0,0
"gene:AT1G54957",0,0,0,0,0,0
"gene:AT1G54960",2,21,32,62,46,39
"gene:AT1G54970",0,0,0,0,0,0
"gene:AT1G54980",0,0,0,0,14,0
"gene:AT1G54990",429,101,379,273,313,170
"gene:AT1G55000",140,58,29,215,383,133
"gene:AT1G55010",0,0,0,0,0,0
"gene:AT1G55020",345,99,91,188,214,112
"gene:AT1G55030",0,0,0,0,0,0
"gene:AT1G55040",220,140,162,119,72,23
"gene:AT1G55050",1,1,1,34,37,19
"gene:AT1G55060",0,0,0,0,0,0
"gene:AT1G55070",0,1,0,0,0,0
"gene:AT1G55080",252,144,147,139,143,54
"gene:AT1G55090",836,64,115,474,395,217
"gene:AT1G55110",167,49,69,35,56,13
"gene:AT1G55120",127,0,132,76,212,40
"gene:AT1G55130",51,44,11,171,218,104
"gene:AT1G55140",185,5,56,296,185,132
"gene:AT1G55150",218,42,123,177,241,66
"gene:AT1G55160",398,45,147,197,158,22
"gene:AT1G55152",229,0,65,54,26,2
"gene:AT1G55170",361,61,77,37,121,33
"gene:AT1G55175",23,0,5,10,55,0
"gene:AT1G55180",935,6,65,175,193,102
"gene:AT1G55190",82,46,68,165,165,63
"gene:AT1G55200",81,0,7,31,88,4
"gene:AT1G55205",66,0,2,14,31,14
"gene:AT1G55207",0,0,0,0,0,0
"gene:AT1G55210",3968,1254,1334,1226,1403,1083
"gene:AT1G55220",0,0,17,0,0,0
"gene:AT1G55230",1,31,25,0,0,0
"gene:AT1G55240",156,16,17,0,0,0
"gene:AT1G55250",206,72,88,312,350,123
"gene:AT1G55260",17,0,1,0,30,0
"gene:AT1G55265",288,26,4,2,24,2
"gene:AT1G55270",422,91,103,130,140,37
"gene:AT1G55280",0,0,1,93,37,0
"gene:AT1G55290",0,0,0,0,0,0
"gene:AT1G55300",3,22,75,74,137,31
"gene:AT1G55310",487,92,91,447,364,170
"gene:AT1G55320",40,18,5,39,115,106
"gene:AT1G55325",1010,370,282,533,743,328
"gene:AT1G55330",575,79,110,671,953,271
"gene:AT1G55335",575,79,110,669,950,271
"gene:AT1G55340",57,6,53,381,340,157
"gene:AT1G55350",1650,554,666,1722,1403,607
"gene:AT1G55360",426,84,21,583,885,302
"gene:AT1G55365",31,5,202,1,2,0
"gene:AT1G55370",366,7,247,237,263,131
"gene:AT1G55380",0,0,8,12,15,23
"gene:AT1G55390",0,0,0,0,0,0
"gene:AT1G55420",0,0,0,0,0,3
"gene:AT1G55430",0,0,0,0,0,0
"gene:AT1G55440",0,0,9,0,0,0
"gene:AT1G55450",6656,1218,1851,62,168,43
"gene:AT1G55460",239,133,193,159,149,111
"gene:AT1G55475",241,40,96,189,94,31
"gene:AT1G55480",1260,217,665,886,1148,507
"gene:AT1G55490",2351,742,936,2886,5186,1643
"gene:AT1G55500",1054,109,295,172,185,136
"gene:AT1G55510",180,0,12,52,119,40
"gene:AT1G55520",768,243,182,232,285,203
"gene:AT1G55530",309,88,189,165,304,112
"gene:AT1G55535",143,43,94,23,31,32
"gene:AT1G55540",241,247,49,163,359,99
"gene:AT1G55546",1,0,0,0,1,0
"gene:AT1G55550",0,0,23,0,1,1
"gene:AT1G55560",0,0,0,0,0,0
"gene:AT1G55570",1,0,0,0,1,0
"gene:AT1G55580",0,0,0,0,2,0
"gene:AT1G55590",478,75,36,76,114,75
"gene:AT1G55600",0,0,0,1,0,0
"gene:AT1G55610",172,75,85,178,204,74
"gene:AT1G55620",340,83,64,240,261,166
"gene:AT1G55630",217,23,12,32,27,3
"gene:AT1G55640",0,0,2,0,0,0
"gene:AT1G55650",0,0,0,0,1,0
"gene:AT1G55660",0,0,0,0,0,0
"gene:AT1G55670",14967,4041,4860,6296,10278,4262
"gene:AT1G55673",12113,3478,4066,4819,8123,3482
"gene:AT1G55675",1,3,26,146,148,145
"gene:AT1G55680",959,242,235,630,710,460
"gene:AT1G55690",375,2,65,267,344,214
"gene:AT1G55700",0,0,0,0,0,0
"gene:AT1G55710",0,0,0,0,0,0
"gene:AT1G55720",0,0,0,0,0,0
"gene:AT1G55730",8,15,66,28,48,72
"gene:AT1G55740",0,0,0,0,0,1
"gene:AT1G55750",164,102,56,222,171,107
"gene:AT1G55755",669,8,63,48,101,30
"gene:AT1G55760",796,33,69,125,194,98
"gene:AT1G55770",0,0,0,0,0,0
"gene:AT1G55775",0,0,0,0,0,0
"gene:AT1G55790",1,0,0,0,0,0
"gene:AT1G55800",91,0,0,0,1,0
"gene:AT1G55803",0,0,0,0,0,0
"gene:AT1G55805",41,0,14,117,213,55
"gene:AT1G55810",656,59,64,193,338,65
"gene:AT1G55820",280,124,87,45,155,4
"gene:AT1G55830",414,1,220,133,120,19
"gene:AT1G55840",204,150,185,542,701,354
"gene:AT1G55850",141,319,235,838,792,480
"gene:AT1G55860",3953,1481,1476,2396,2751,1153
"gene:AT1G55865",0,0,0,0,5,0
"gene:AT1G55870",225,110,27,22,118,4
"gene:AT1G55880",130,31,41,145,168,71
"gene:AT1G55890",38,78,82,170,181,41
"gene:AT1G55900",309,175,165,125,208,32
"gene:AT1G55910",146,11,35,19,52,17
"gene:AT1G55915",18,52,22,30,12,8
"gene:AT1G55917",7,0,0,0,0,0
"gene:AT1G55920",2048,922,437,131,172,38
"gene:AT1G55928",0,0,0,0,0,1
"gene:AT1G55930",127,7,25,113,90,33
"gene:AT1G55940",0,0,0,0,0,0
"gene:AT1G55945",0,0,0,0,0,0
"gene:AT1G55947",1,0,0,1,10,4
"gene:AT1G55950",1,0,3,2,0,0
"gene:AT1G55960",57,0,63,348,518,214
"gene:AT1G55970",261,10,77,97,100,73
"gene:AT1G55980",0,0,0,0,5,1
"gene:AT1G55990",0,1,0,0,0,0
"gene:AT1G56000",64,13,5,58,77,24
"gene:AT1G56010",5,0,93,7,28,16
"gene:AT1G56020",0,0,0,23,7,0
"gene:AT1G56030",0,0,0,0,0,0
"gene:AT1G56040",0,0,0,0,1,1
"gene:AT1G56045",2713,1112,1208,1468,1521,1977
"gene:AT1G56050",211,42,101,172,416,77
"gene:AT1G56060",1263,279,283,0,6,3
"gene:AT1G56070",15840,4796,5756,5426,7548,2926
"gene:AT1G56080",0,0,36,34,9,15
"gene:AT1G56085",1,0,0,0,0,0
"gene:AT1G56090",5,28,27,79,69,63
"gene:AT1G56100",0,0,0,0,1,0
"gene:AT1G56105",0,0,0,1,6,1
"gene:AT1G56110",4533,1250,1684,963,1207,431
"gene:AT1G56120",56,6,54,4,24,15
"gene:AT1G56130",12,89,18,36,26,3
"gene:AT1G56140",404,344,149,75,125,42
"gene:AT1G56145",1357,157,163,114,148,98
"gene:AT1G56150",235,45,24,14,0,12
"gene:AT1G56160",127,0,10,0,8,0
"gene:AT1G56170",0,1,30,34,17,0
"gene:AT1G56180",263,1,65,97,143,40
"gene:AT1G56190",394,347,176,876,1415,676
"gene:AT1G56200",747,70,248,612,991,507
"gene:AT1G56210",45,26,59,324,292,151
"gene:AT1G56220",1512,553,922,3885,5481,3098
"gene:AT1G56225",0,0,0,0,0,0
"gene:AT1G56230",546,171,135,490,447,416
"gene:AT1G56233",0,0,0,0,1,0
"gene:AT1G56240",2634,500,569,0,2,0
"gene:AT1G56250",3778,400,678,0,0,0
"gene:AT1G56260",91,1,7,2,42,32
"gene:AT1G56270",27,0,0,0,0,0
"gene:AT1G56280",3937,698,1205,1572,2029,911
"gene:AT1G56290",601,246,134,110,291,74
"gene:AT1G56300",983,453,403,152,472,160
"gene:AT1G56310",14,24,42,33,127,69
"gene:AT1G56320",0,0,3,10,3,20
"gene:AT1G56330",204,93,229,278,659,315
"gene:AT1G56340",1409,655,871,1618,1917,791
"gene:AT1G56345",58,20,11,0,25,5
"gene:AT1G56350",0,0,26,50,64,50
"gene:AT1G56360",1,0,0,0,0,0
"gene:AT1G56380",0,0,0,0,0,0
"gene:AT1G56385",0,0,0,0,0,0
"gene:AT1G56400",0,0,0,0,0,0
"gene:AT1G56410",0,0,0,1,0,0
"gene:AT1G56415",0,0,0,0,0,0
"gene:AT1G56418",0,0,0,0,0,0
"gene:AT1G56420",37,1,21,2,41,1
"gene:AT1G56423",277,42,41,39,88,74
"gene:AT1G56430",16,19,33,83,93,47
"gene:AT1G56440",36,51,34,32,101,16
"gene:AT1G56450",1027,185,277,343,457,313
"gene:AT1G56460",163,45,165,347,309,89
"gene:AT1G56500",1879,182,382,374,1018,338
"gene:AT1G56510",659,225,304,147,393,73
"gene:AT1G56520",292,18,84,95,149,27
"gene:AT1G56530",0,0,0,0,0,1
"gene:AT1G56540",349,25,56,4,1,29
"gene:AT1G56550",14,1,2,1,1,1
"gene:AT1G56553",0,0,0,0,0,0
"gene:AT1G56555",3,13,0,0,41,0
"gene:AT1G56560",749,114,124,297,233,144
"gene:AT1G56570",565,53,83,126,242,37
"gene:AT1G56580",370,48,65,22,128,7
"gene:AT1G56590",133,29,51,45,168,56
"gene:AT1G56600",0,0,6,0,0,0
"gene:AT1G56610",465,8,51,110,135,16
"gene:AT1G56620",7,0,0,0,0,0
"gene:AT1G56630",6,0,0,0,2,2
"gene:AT1G56650",0,0,1,0,2,0
"gene:AT1G56660",215,108,255,149,119,85
"gene:AT1G56670",0,15,8,4,33,6
"gene:AT1G56680",1,0,0,0,0,7
"gene:AT1G56690",188,25,1,6,41,20
"gene:AT1G56700",170,25,81,346,267,109
"gene:AT1G56710",0,0,0,53,98,1
"gene:AT1G56720",66,76,13,43,90,32
"gene:AT1G57540",1,1,0,24,96,10
"gene:AT1G57550",0,0,0,0,0,0
"gene:AT1G57560",623,142,228,0,0,0
"gene:AT1G57565",0,0,0,0,0,0
"gene:AT1G57570",0,0,0,0,5,0
"gene:AT1G57580",0,0,0,0,0,0
"gene:AT1G57590",0,0,0,3,0,1
"gene:AT1G57600",436,7,29,25,128,33
"gene:AT1G57610",2217,366,550,189,148,93
"gene:AT1G57613",0,0,0,0,0,0
"gene:AT1G57620",667,152,108,17,154,83
"gene:AT1G57630",2607,520,609,1,0,2
"gene:AT1G57650",174,97,58,0,0,0
"gene:AT1G57660",447,216,147,255,444,199
"gene:AT1G57670",56,0,10,6,2,0
"gene:AT1G57680",1893,711,569,583,591,286
"gene:AT1G57690",177,26,1,0,0,0
"gene:AT1G57700",1040,227,247,88,126,55
"gene:AT1G57720",4017,1166,1380,1113,1697,672
"gene:AT1G57730",1,0,0,0,0,0
"gene:AT1G57750",0,0,0,0,0,0
"gene:AT1G57760",0,0,0,0,0,0
"gene:AT1G57765",160,13,17,82,146,56
"gene:AT1G57770",369,33,46,45,136,65
"gene:AT1G57775",0,0,0,0,0,0
"gene:AT1G57777",0,0,0,0,0,0
"gene:AT1G57780",1,0,0,0,0,0
"gene:AT1G57790",1,5,32,69,94,23
"gene:AT1G57800",1,0,0,0,1,0
"gene:AT1G57820",159,37,66,297,178,142
"gene:AT1G57830",0,0,0,0,0,0
"gene:AT1G57850",28,17,0,27,45,13
"gene:AT1G57860",163,21,60,126,361,121
"gene:AT1G57870",43,57,45,214,196,164
"gene:AT1G57906",6,0,2,43,21,71
"gene:AT1G57943",0,0,0,0,0,0
"gene:AT1G57980",354,93,39,82,21,3
"gene:AT1G57990",8734,1904,1918,272,196,176
"gene:AT1G58007",0,1,0,0,7,0
"gene:AT1G58025",245,62,102,161,325,176
"gene:AT1G58030",343,110,117,450,602,288
"gene:AT1G58037",0,0,0,0,0,0
"gene:AT1G58050",1,0,0,0,0,0
"gene:AT1G58055",0,0,2,0,0,0
"gene:AT1G58060",226,89,169,378,495,210
"gene:AT1G58070",1122,317,307,205,544,164
"gene:AT1G58080",814,262,249,749,878,412
"gene:AT1G58090",1,0,0,0,0,0
"gene:AT1G58100",818,310,266,326,265,184
"gene:AT1G58110",374,305,90,453,730,367
"gene:AT1G58120",0,0,0,0,0,0
"gene:AT1G58150",0,21,34,27,52,16
"gene:AT1G58160",2,0,0,0,38,26
"gene:AT1G58170",0,0,4,67,122,30
"gene:AT1G58180",21,21,74,233,277,162
"gene:AT1G58190",19,7,20,2,0,0
"gene:AT1G58200",1637,435,367,602,642,230
"gene:AT1G58210",111,2,115,78,105,104
"gene:AT1G58215",0,0,0,0,0,0
"gene:AT1G58220",168,42,142,191,174,61
"gene:AT1G58223",21,31,129,107,88,40
"gene:AT1G58225",37,23,56,0,0,0
"gene:AT1G58230",919,253,309,697,817,422
"gene:AT1G58235",22,52,51,136,99,22
"gene:AT1G58242",0,0,0,0,0,0
"gene:AT1G58245",0,0,0,0,0,0
"gene:AT1G58248",0,0,0,0,0,0
"gene:AT1G58250",869,257,602,964,1136,590
"gene:AT1G58260",0,0,0,0,0,0
"gene:AT1G58265",0,0,0,0,0,0
"gene:AT1G58270",3,42,3,0,55,0
"gene:AT1G58280",64,5,3,2,5,4
"gene:AT1G58290",2675,760,1066,1451,1660,778
"gene:AT1G58300",0,0,0,1,0,0
"gene:AT1G58310",0,0,0,0,1,0
"gene:AT1G58320",0,0,0,0,0,0
"gene:AT1G58330",1,0,0,0,0,0
"gene:AT1G58340",216,72,43,34,36,15
"gene:AT1G58350",294,150,175,426,576,263
"gene:AT1G58360",1714,342,403,1531,1109,814
"gene:AT1G58370",1417,8,201,286,1077,465
"gene:AT1G58380",756,102,240,264,191,115
"gene:AT1G58390",0,0,0,0,0,0
"gene:AT1G58400",0,3,29,0,16,1
"gene:AT1G58410",561,82,43,1,10,2
"gene:AT1G58420",322,54,68,0,2,0
"gene:AT1G58430",0,0,0,0,1,0
"gene:AT1G58440",228,45,104,265,339,119
"gene:AT1G58450",0,0,0,0,0,0
"gene:AT1G58460",0,0,0,0,0,0
"gene:AT1G58470",85,0,50,51,24,16
"gene:AT1G58525",0,0,0,0,0,0
"gene:AT1G58520",225,48,17,65,121,23
"gene:AT1G58602",8380,2190,3883,3552,5156,2412
"gene:AT1G58643",0,0,0,0,0,0
"gene:AT1G58684",0,0,0,0,0,0
"gene:AT1G58725",0,0,0,0,0,0
"gene:AT1G58766",0,0,0,0,0,0
"gene:AT1G58807",0,0,0,0,0,2
"gene:AT1G58848",0,0,0,3,22,0
"gene:AT1G58936",0,0,0,0,0,0
"gene:AT1G58983",0,0,0,0,0,0
